company,title,job_title,job_summary,city,state,state1,region
Johnson & Johnson Family of Companies,Data Engineer,Staff Quality Engineer -Data Analytics,"Experience presenting metrics related data to senior leadership. Should be familiar with statistical techniques, data analysis and computing software tools.",Cincinnati,OH, Ohio,Midwest
CACI,Data Analyst,Data Analyst,"CACI is seeking a full-time Data Analyst to support electronic warfare studies. Perform research, set up experiments, run models, analyze data, prepare reports…",Wright-Patterson AFB,OH, Ohio,Midwest
State Auto Insurance Companies,Data Engineer,Data Engineer,"Minimum of two years of prior data engineer experience. Build distributed, scalable, and reliable data pipelines that ingest and process data at scale and in…",Columbus,OH, Ohio,Midwest
Battelle,Data Scientist,Data Scientist 2,"Aid in the design and implementation of machine learning, data mining, data fusion, and data engineering techniques applied to cyber security problems.",Columbus,OH, Ohio,Midwest
Onshore Momentum,Data Engineer,Contract – Cloud Data Engineer – hourly rate open based on qualifications,Design and build data pipelines for handling both real-time data streams and batch based integrations. Manager of Data Architecture and Design.,Columbus,OH, Ohio,Midwest
GE Aviation,Data Engineer,Sr Staff Data Engineer,Data Engineer will be part of the Self-Service Data team in the Chief Data Officer Organization (CDOO). Data Engineer should have the below competencies:,Cincinnati,OH, Ohio,Midwest
GE Aviation,Data Analyst,Data Science & Analytics Intern - Summer 2020,"Work with data engineers on data quality assessment, data cleansing and data analytics. The Data Science & Analytics Intern will give to the development and…",Cincinnati,OH, Ohio,Midwest
Accelerated Analytics,Data Analyst,Business Analyst,Validation and trouble shooting of data source files to determine the cause. Accelerated Analytics is the provider of choice for retail Point of Sale (POS) data…,Canton,OH, Ohio,Midwest
Clear Packaging,Data Analyst,Lab Technician / Data Analyst,Ability to Display Data Usefully. Coordinate daily activities with the Senior Product Engineer in an effort to maintain goal alignment throughout the…,Cincinnati,OH, Ohio,Midwest
Lubrizol Corporation,Data Scientist,Data Scientist/Statistician (PhD Level),"The Statistics & Data Analytics Team. Create predictive models by mining complex data. Chemistry, Scientific, Database, Statistics, Scientist, Science,…",Wickliffe,OH, Ohio,Midwest
Battelle,Data Scientist,Data Scientist Graduate Intern (Summer 2020),"Aid in the design and implementation of machine learning, data mining, data fusion, and data engineering techniques applied to cyber microelectronics security…",Columbus,OH, Ohio,Midwest
Fifth Third Bank,Data Engineer,Senior Data Engineer,"As a Fifth Third Data Engineer, you will develop fast data infrastructure leveraging data streaming, batch processing, and eventually machine learning to.",Cincinnati,OH, Ohio,Midwest
Mast Global,Data Engineer,Sr. Big Data Engineer (Hadoop),Ability to work on a large team of Data Engineers. Strategizes new uses for data and its interaction with data design.,Columbus,OH, Ohio,Midwest
State Automobile Mutual Insurance Company,Data Engineer,Data Engineer,"Minimum of two years of prior data engineer experience. Build distributed, scalable, and reliable data pipelines that ingest and process data at scale and in…",Columbus,OH, Ohio,Midwest
Deloitte,Data Engineer,Big Data Engineer - Project Delivery Specialist,Minimum of three years of prior data engineer experience. Strategy & Analytics – Project Delivery Specialist – Big Data Engineer. Deloitte is led by a purpose:,Columbus,OH, Ohio,Midwest
Earnin,Data Engineer,Data Engineer-DB,"2+ years of data modeling, ETL development, Query Optimization experience with relational databases, preferably AWS RDS. You can help make a difference.",Cincinnati,OH, Ohio,Midwest
Jam City,Data Analyst,Data Analyst (Quality Control),"Assist the data engineers in managing billions of rows of data. Building reports, dashboards and data visualizations to monitor the health and accuracy of our…",Toronto,OH, Ohio,Midwest
Procter and Gamble,Data Scientist,Data Scientist-R&D,As a Data Scientist you will work closely with Scientists and Engineers to translate business challenges into clear problem statements.,Cincinnati,OH, Ohio,Midwest
Battelle,Data Engineer,Cloud Architect/Data Engineer,"Experience with ETL (Extract, Transform and Load), data validation and continuous data analytics as data is updated. Experience with data warehouse management.",Columbus,OH, Ohio,Midwest
84.51°,Data Engineer,Lead Data Engineer,"Lead Data Engineer – What you''ll do. As a data engineer, we develop strategies and solutions to ingest, store and distribute our big data.",Cincinnati,OH, Ohio,Midwest
Accenture,Data Engineer,AWS Data Engineer,"You will have an opportunity to work in roles such as Data Scientist, Data Engineer, or Chief Data Officer covering all aspects of Data including Data…",Cincinnati,OH, Ohio,Midwest
84.51°,Data Engineer,Lead Data Engineer,"Lead Data Engineer What you''ll do. As a data engineer, we develop strategies and solutions to ingest, store and distribute our big data.",Cincinnati,OH, Ohio,Midwest
Interesse International Inc,Data Analyst,Japanese Bilingual Business Analyst,"3+ years of experience as system engineer. Ability to query, manipulate and analyze data. Knowledge of various databases and data interpretation.",Raymond,OH, Ohio,Midwest
84.51°,Data Engineer,Lead Data Engineer,"Lead Data Engineer – What you''ll do. As a data engineer, we develop strategies and solutions to ingest, store and distribute our big data.",Cincinnati,OH, Ohio,Midwest
Ameritas,Data Engineer,AIP Intern-Investment Data Engineer,Ameritas Investment Partners is seeking a Investments Data Engineer Intern. Understands foundational concepts of data development and operational procedures…,Cincinnati,OH, Ohio,Midwest
Accenture,Data Engineer,AWS Data Engineer,"You will have an opportunity to work in roles such as Data Scientist, Data Engineer, or Chief Data Officer covering all aspects of Data including Data…",Cincinnati,OH, Ohio,Midwest
Ameritas,Data Engineer,Data Engineer Intern,"Ameritas Life Insurance Corp is seeking a Data Engineer Intern In this role, you will be responsible for contributing to data development and operational…",Cincinnati,OH, Ohio,Midwest
Jobot,Data Engineer,Data Engineer,We are looking for a data engineer to join our team of software engineers that support this e-commerce business unit. What you will be doing:,Solon,OH, Ohio,Midwest
Cequint,Data Analyst,Data Analyst,"The Splunk Analyst is responsible for supporting the efforts of the data science team and it’s overall mission of providing a platform for the ingestion,…",Seattle,WA, Washington,West
Jo-Ann Fabric and Craft Stores,Data Scientist,Data Scientist,"Establish strong working relationships with cross-functional teams, including IT, Inventory Management, Store Operations, and Merchandising, to collect data for…",Hudson,OH, Ohio,Midwest
AEP Energy Inc,Data Scientist,Data Scientist,"This position will primarily be involved in projects that require decision science methodologies (such as predictive and prescriptive modeling, machine learning…",Columbus,OH, Ohio,Midwest
University Hospitals,Data Scientist,Data Scientist,"Responsible for executing projects that require the full data science pipeline including data integration of disparate and centralized data into data marts,…",Mayfield Heights,OH, Ohio,Midwest
Claritas,Data Scientist,"Senior Data Scientist, Digital",Uses best practices to develop statistical and machine learning techniques to build models that improve the accuracy of our data and decisions made from data…,Cincinnati,OH, Ohio,Midwest
Battelle,Data Scientist,Cyber Data Scientist I,"Battelle provides employment and opportunities for advancement, compensation, training, and growth according to individual merit, without regard to race, color,…",Columbus,OH, Ohio,Midwest
The Step2 Company,Data Scientist,Data Scientist,"Reporting to the IT Director, and in close collaboration FP&A, the Data Scientist will support our product, sales, operations, and marketing teams with insights…",Streetsboro,OH, Ohio,Midwest
University Hospitals,Data Scientist,Data Scientist,"Responsible for executing projects that require the full data science pipeline including data integration of disparate and centralized data into data marts,…",Mayfield Heights,OH, Ohio,Midwest
Cincinnati Reds,Data Scientist,Data Scientist,"It is the policy of the Cincinnati Reds to ensure equal employment opportunity without discrimination or harassment on the basis of race, color, national origin…",Cincinnati,OH, Ohio,Midwest
Clarigent Health,Data Scientist,Data Scientist,"Use data and artificial intelligence science with a focus on machine learning techniques to perform research, create new approaches and assist with the design,…",Mason,OH, Ohio,Midwest
Impetus Technologies,Data Scientist,Associate Data Scientist*,"R, Python, SAS, SQL/Hive, Machine Learning (Predictive Modeling), Natural Language Processing, Cyber Security, Exploratory Data Analysis, Model Interpretability…",Westerville,OH, Ohio,Midwest
Signet Jewelers,Data Scientist,Citizen Data Scientist,"Provide insight into, trends, financial and business operations through data analysis and the development of business intelligence visuals.",Akron,OH, Ohio,Midwest
Kognetics,Data Scientist,Data Scientist,"Working closely with the technology and learning teams, theData Scientist will be responsible for the following:Creating infrastructure for thedelivery team;",Gahanna,OH, Ohio,Midwest
Battelle,Data Scientist,Data Scientist I,"Battelle provides employment and opportunities for advancement, compensation, training, and growth according to individual merit, without regard to race, color,…",Columbus,OH, Ohio,Midwest
Vertiv Co.,Data Scientist,Intern- Data Scientist,"Vertiv, a global leader in network power solutions, seeks a Data Scientist Intern at its Columbus, OH headquarters location.Extract Data from SQL systems.",Westerville,OH, Ohio,Midwest
Emerald Resource Group,Data Scientist,Data Scientist - Ph.D.,Do you have a solid experience with Python and R or statistical software development background?Machine Learning and Natural Language Processing techniques.,Columbus,OH, Ohio,Midwest
Riverside Research,Data Scientist,Data Scientist,"Develop machine learning, data mining, statistical, and graph-based algorithms to analyze and make sense of data sets.",Wright-Patterson AFB,OH, Ohio,Midwest
Root Insurance Company,Data Scientist,"Data Scientist, Telematics","This role will be heavily involved with data acquisition, processing, and application of machine learning models, as well as pulling data from both new and…",Columbus,OH, Ohio,Midwest
Barefoot Proximity,Data Scientist,Associate Director (Data Science & Advanced Analytics),"This team member will have an opportunity to work on everything from large, global, multi-agency clients to small, scrappy, two-person projects – leading a team…",Cincinnati,OH, Ohio,Midwest
Abercrombie and Fitch Co.,Data Scientist,Data Scientist,"Build innovative machine learning models and segmentations for personalization initiatives to drive margin, revenue and conversion.What will you need to bring?",Columbus,OH, Ohio,Midwest
"WorldPay US, Inc.",Data Scientist,Data Scientist,"Designs, develops and programs methods, processes, and systems to consolidate and analyze unstructured, diverse big data sources to generate actionable…",Cincinnati,OH, Ohio,Midwest
Ohio Health,Data Scientist,Data Scientist,"The Performance Analytics Consultant is responsible for understanding, preparing, processing and analyzing data to generate data-driven insights, through the…",Dublin,OH, Ohio,Midwest
Arconic,Data Scientist,Data Scientist,The primary purpose of this position is to deploy our Machine Learning efforts in an effort to improve our factories and processes including optimizing cycle…,Cleveland,OH, Ohio,Midwest
Booz Allen Hamilton,Data Scientist,Data Scientist,"You’ll have access to a wealth of training resources through our Analytics University, an online learning portal specifically geared towards data science and…",Dayton,OH, Ohio,Midwest
CITIZENS BANK,Data Scientist,Data Scientist,It is the policy of Citizens Bank to provide equal employment and advancement opportunities to all colleagues and applicants for employment without regard to…,Columbus,OH, Ohio,Midwest
AEP Energy,Data Scientist,Data Scientist,"This position will primarily be involved in projects that require decision science methodologies (such as predictive and prescriptive modeling, machine learning…",Columbus,OH, Ohio,Midwest
Lubrizol Corporation,Data Scientist,Data Scientist/ Statistician Intern (BS/MS Students),"Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender…",Wickliffe,OH, Ohio,Midwest
Booz Allen Hamilton,Data Scientist,Machine Learning Data Scientist,"You’ll have access to a wealth of training resources through our Analytics University, an online learning portal specifically geared towards data science and…",Dayton,OH, Ohio,Midwest
Root Insurance Company,Data Scientist,Data Scientist,"Examples of some of the rich data sources we work with include smartphone telematics sensor data, marketing campaign results, and unstructured data from claims…",Columbus,OH, Ohio,Midwest
Radiology Partners,Data Scientist,NLP Data Scientist,"This position reports to the Director of Data Science and Clinical Analytics and collaborates with our IT application development, infrastructure, and data…",Columbus,OH, Ohio,Midwest
Avery Dennison,Data Analyst,Data Science Internship,"All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender…",Mentor,OH, Ohio,Midwest
Marathon Petroleum Corporation,Data Scientist,Data Scientist,Marathon Petroleum Company LP is an Equal Opportunity Employer and gives consideration for employment to qualified applicants without discrimination on the…,Findlay,OH, Ohio,Midwest
Fifth Third Bank,Data Scientist,Data Scientist.,"Conducts advanced analytics leveraging predictive modeling, machine learning, simulation, optimization and other techniques to deliver insights or develop…",Cincinnati,OH, Ohio,Midwest
Huntington Bank,Data Scientist,Data Scientist,"In this role you will work within our Data Science and Predictive Modeling team and partner with data architecture, indirect lending, and consumer bank…",Columbus,OH, Ohio,Midwest
Procter and Gamble,Data Scientist,Data Scientist-Master’s Degree,"All will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status, disability status, age,…",Cincinnati,OH, Ohio,Midwest
Moen,Data Scientist,Data Scientist - Supply Chain,"Hands-on experience applying machine learning and predictive analytics is strongly preferred.Hands-on experience performing data mining, manipulating large…",Cleveland,OH, Ohio,Midwest
Battelle,Data Scientist,Data Scientist II,"Battelle provides employment and opportunities for advancement, compensation, training, and growth according to individual merit, without regard to race, color,…",Columbus,OH, Ohio,Midwest
Centauri,Data Scientist,Data Scientist,"Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.).",Beavercreek,OH, Ohio,Midwest
Ezra Penland Actuarial Recruitment,Data Scientist,Commercial Lines Insurance Data Scientist (Actuary) #85988,Midwest insurer seeks a Commercial Lines Insurance Data Scientist for Position 85988.Must have commercial lines experience.,Cincinnati,OH, Ohio,Midwest
Progressive,Data Scientist,Data Scientist Senior or Lead,"As a member of the Pricing Data Science team, you’ll use advanced analytical, machine learning and data transformation techniques to develop practical tools and…",Mayfield Village,OH, Ohio,Midwest
The AES Corporation,Data Scientist,Data Scientist,"All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, sexual orientation,…",Dayton,OH, Ohio,Midwest
Kognetics,Data Scientist,Senior Data Scientist,"Working closely with the technology and learning teams, the DataScientist will be responsible for the following:Creating infrastructure for thedelivery team;",Gahanna,OH, Ohio,Midwest
The J. M. Smucker Company,Data Analyst,"Intern, Market Development Organization - Data Science","As a member of the MDO Analytics team, the Data Science Intern will work directly with business partners on one large anchor project and several smaller…",Akron,OH, Ohio,Midwest
Cardinal Health,Data Scientist,Data Scientist - Machine Learning Architect,"All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national…",Dublin,OH, Ohio,Midwest
"BGI, LLC",Data Engineer,Data Science Software Engineer - Entry Level,"BGI is a unique and innovative veteran-owned small business that brings together highly experienced leaders and managers, instructors, operators, training…",Akron,OH, Ohio,Midwest
Goodyear,Data Analyst,Data Science Intern - Global Technology,"The program allows the organization to build a pipeline of candidates for future permanent openings, and the students gain a better understanding of the various…",Akron,OH, Ohio,Midwest
Lubrizol Corporation,Data Scientist,Data Scientist/Statistician (PhD Level),"Qualified applicants will receive consideration for employment without regard to sex, race, color, national origin, citizenship, age, religion, marital status,…",Wickliffe,OH, Ohio,Midwest
Procter and Gamble,Data Scientist,Data Scientist-Masters,"All will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status, disability status, age,…",Cincinnati,OH, Ohio,Midwest
T-CETRA LLC,Data Analyst,Senior Data Analyst,"_T-CETRA provides employment and opportunities for advancement, compensation, training, and growth according to individual merit, without regard to race, color,…",Dublin,OH, Ohio,Midwest
GE Aviation,Data Scientist,Staff Data Scientist,"Employment decisions are made without regard to race, color, religion, national or ethnic origin, gender (including pregnancy), sexual orientation, gender…",Cincinnati,OH, Ohio,Midwest
Battelle,Data Scientist,Cyber Data Scientist I,"Battelle provides employment and opportunities for advancement, compensation, training, and growth according to individual merit, without regard to race, color,…",Columbus,OH, Ohio,Midwest
The J. M. Smucker Company,Data Analyst,"Intern, Information Services - Data Science","As a member of the centralized, enterprise Data Science team, the Data Science Intern will work directly with business partners on one large anchor project and…",Akron,OH, Ohio,Midwest
Procter and Gamble,Data Scientist,Experienced Data Scientist,"All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status,…",Cincinnati,OH, Ohio,Midwest
Procter and Gamble,Data Scientist,Data Scientist-R&D,"All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status,…",Cincinnati,OH, Ohio,Midwest
Procter and Gamble,Data Scientist,Data Scientist-Master’s Degree Internship,"All will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status, disability status, age,…",Cincinnati,OH, Ohio,Midwest
JP Morgan Chase,Data Scientist,"Data Scientist Associate, Workforce Analytics","The Data Scientist will utilize experience exploring data, applying advanced statistical techniques, and designing machine learning algorithms to create…",Columbus,OH, Ohio,Midwest
Upstart,Data Scientist,Data Scientist,"Upstart is an equal opportunity employer and all qualified individuals will receive consideration for employment without regard to race, color, religion, sex,…",Columbus,OH, Ohio,Midwest
Worldpay,Data Scientist,Finance Data Scientist,Ability to leverage Machine and Deep learning modeling to solve complex business problems.The Finance Data Scientist designs and develops methods and systems…,Cincinnati,OH, Ohio,Midwest
Lubrizol Corporation,Data Scientist,Data Scientist/ Statistican Intern (PhD Level),"Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender…",Wickliffe,OH, Ohio,Midwest
Gravity Infosolutions,Data Scientist,Data Scientist,"In Statistics, Applied Mathematics, Economics, Computer Science, Data Science, Business Analytics, Operation Research, Software Development, or a similar…",Cincinnati,OH, Ohio,Midwest
Clarigent Health,Data Scientist,Data Scientist,"Use data and artificial intelligence science with a focus on machine learning techniques to perform research, create new approaches and assist with the design,…",Mason,OH, Ohio,Midwest
Ball Aerospace,Data Scientist,Cognitive Data Scientist (668388),"All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity,…",Dayton,OH, Ohio,Midwest
Buckeye Community Health Plan,Data Scientist,Data Scientist II,"Master’s degree in Statistics, Mathematics, Computer Science, Informatics, Econometrics, Engineering, Experimental Science with 3+ years of experience or…",Columbus,OH, Ohio,Midwest
Seamless.AI,Data Scientist,Data Scientist/Engineer,"Build, measure, analyze and optimize machine learning and statistical models that will have a direct impact on the Seamless.AI contact and company profiles.",Columbus,OH, Ohio,Midwest
Progressive,Data Scientist,Data Scientist Computer Vision,"As a member of the Claims Data Science team, you’ll use machine vision and machine learning in applications that solve complex problems.Your Role on the Team.",Mayfield Heights,OH, Ohio,Midwest
JP Morgan Chase,Data Scientist,Marketing Campaign Analytics Data Scientist - Consumer Bank,"Applicant must possess advanced technical skills, with at least 3 years of experience with SQL and at least one of the following analytical tools:",Columbus,OH, Ohio,Midwest
Progressive,Data Analyst,Data Analyst Senior,"This position will integrate closely with leadership of both the assigned Platforms and related IT projects, work closely with peer IT Control Portfolio Leads,…",Mayfield Village,OH, Ohio,Midwest
Pronix Inc,Data Scientist,Sr. Health Care Data Scientist - 8+ Years,"EMR, Claims Data, Data Analyst, SQL, Story Telling, Data Visualizations, Qlik Sense(BI), Power Point, Excel.",Columbus,OH, Ohio,Midwest
Battelle,Data Scientist,Data Scientist Graduate Intern (Summer 2020),"Applicants will receive consideration for employment without regard to race, color, religion, sex (including pregnancy), national origin, sexual orientation,…",Columbus,OH, Ohio,Midwest
DSW,Data Analyst,Summer 2020 Internship Program - Data Science,"We do not discriminate against any protected class including race, color, religion, religious creed, gender, sex, national origin, age, physical disability,…",Columbus,OH, Ohio,Midwest
Tenet3,Data Scientist,Data Scientist,Data scientists will complement and work with our team of in-house research scientists and engineers who are creating cutting edge hardware and software systems…,Dayton,OH, Ohio,Midwest
Battelle,Data Scientist,Data Scientist III,"Battelle provides employment and opportunities for advancement, compensation, training, and growth according to individual merit, without regard to race, color,…",Columbus,OH, Ohio,Midwest
Credence LLC,Data Scientist,Data Scientist,Utilize text analysis and machine learning techniques to understand and define large unstructured data to include 3-5 Million Air Force Contracts.,WP Air Base,OH, Ohio,Midwest
Booz Allen Hamilton,Data Scientist,"Open Source Data Scientist, Mid","We’re an EOE that empowers our people—no matter their race, color, religion, sex, gender identity, sexual orientation, national origin, disability, veteran…",Dayton,OH, Ohio,Midwest
Chase,Data Scientist,Marketing Campaign Analytics Data Scientist - Consumer Bank,"Applicant must possess advanced technical skills, with at least 3 years of experience with SQL and at least one of the following analytical tools:",Columbus,OH, Ohio,Midwest
Procter and Gamble,Data Scientist,Data Scientist-PhD Degree,"All will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status, disability status, age,…",Cincinnati,OH, Ohio,Midwest
JP Morgan Chase,Data Scientist,Data Scientist/Solution Architect,"2+ years experience as a data scientist or data architect with technical expertise in programming languages and common data science toolkits, such as Python, R,…",Columbus,OH, Ohio,Midwest
JP Morgan Chase,Data Scientist,CCB - Quantitative Modeling/Data Science Associate,"Our modelers work directly with each line of business, Consumer Banking, Business Banking, Auto Finance, Credit Card and Commerce Services, Chase Wealth…",Columbus,OH, Ohio,Midwest
Fifth Third Bank,Data Scientist,Senior Data Scientist,"Conducts advanced analytics leveraging predictive modeling, machine learning, simulation, optimization and other techniques to deliver insights or develop…",Cincinnati,OH, Ohio,Midwest
Battelle,Data Scientist,Data Science Research Associate,"Applicants will receive consideration for employment without regard to race, color, religion, sex (including pregnancy), national origin, sexual orientation,…",Columbus,OH, Ohio,Midwest
American Chemical Society,Data Scientist,Data Scientist,Proven track record of various artificial intelligence and machine learning techniques to create models that drive significant business results.,Columbus,OH, Ohio,Midwest
Nationwide Children's Hospital,Data Scientist,Data Scientist II - RI Solutions & Innovations,The Data Scientist II position will be part of a team of Data Scientists and Analysts working to organize and analyze large sets of data or complex data sets to…,Columbus,OH, Ohio,Midwest
Owens-Illinois,Data Analyst,Data Science Intern - Global HQ,"O-I is an Equal Opportunity Employer, and does not discriminate against any employee or applicant for employment because of race, color, sex, age, national…",Perrysburg,OH, Ohio,Midwest
Signet Jewelers,Data Analyst,Sr. Store Development Data Analyst,This position is responsible for the analysis of the Department business data.Works closely with leadership to develop reports and analytic insights that lower…,Akron,OH, Ohio,Midwest
Progressive,Data Analyst,Data Analyst to Data Analyst Sr,"The ideal candidate will have strong technical and analytical skills, in addition to good communication as they will often lead conversations with said business…",Mayfield Heights,OH, Ohio,Midwest
Battelle,Data Scientist,Data Science Co-op (Spring 2020),"Applicants will receive consideration for employment without regard to race, color, religion, sex (including pregnancy), national origin, sexual orientation,…",Columbus,OH, Ohio,Midwest
American Heart Association,Data Scientist,Lead Health Data Science Assets,"Automation, machine learning, deep learning, advanced analytics, data science, data aggregation & visualization.Job Family Group Business Operations.",Cleveland,OH, Ohio,Midwest
Root Insurance Company,Data Scientist,Director of Data Science,"We’re responsible for the full stack of data analytics, from querying or procuring data, cleaning data, feature generation, problem formulation, error/success…",Columbus,OH, Ohio,Midwest
JP Morgan Chase,Data Scientist,CCB - Quantitative Modeling/Data Science - Vice President,We work closely with our partners throughout JPMorgan Chase to assess and execute critical business decisions.Information about JPMorgan Chase & Co.,Columbus,OH, Ohio,Midwest
84.51°,Data Scientist,Lead Data Scientist - Healthcare,"This role leverages large volumes of data across sources in a variety of forms to develop powerful sciences using cutting edge machine learning, natural…",Cincinnati,OH, Ohio,Midwest
84.51°,Data Scientist,Lead Data Scientist - Healthcare,"This role leverages large volumes of data across sources in a variety of forms to develop powerful sciences using cutting edge machine learning, natural…",Cincinnati,OH, Ohio,Midwest
PatientPoint,Data Analyst,Senior Business Intelligence & Data Science Analyst,Join the PatientPoint Business Intelligence & Data Science team in our new Cincinnati headquarters office space.What you will be doing.,Cincinnati,OH, Ohio,Midwest
SearchBright Group,Data Scientist,Senior Data Scientist,"Knowledgeable in Data Science and machine learning, deep learning, AI and related tools such as:They will partner with and provide consultative support to…",Cincinnati,OH, Ohio,Midwest
Battelle,Data Analyst,Data Science Intern (Summer 2020),"Applicants will receive consideration for employment without regard to race, color, religion, sex (including pregnancy), national origin, sexual orientation,…",Columbus,OH, Ohio,Midwest
Federal Reserve Bank of Cleveland,Data Analyst,2020 Summer Internship - Bank Supervision/Data Science,"We are seeking a student to work within our Supervision & Regulation department delivering NLP, Text Mining, and Machine learning Analytics solutions to support…",Cleveland,OH, Ohio,Midwest
Procter and Gamble,Data Scientist,Data Scientist-PhD Internship,"All will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status, disability status, age,…",Cincinnati,OH, Ohio,Midwest
JP Morgan Chase,Data Scientist,"Commercial Banking –Executive Director - Data Science, Analytics & Insights","Knowledge of modern data mining, quantitative research, and data science techniques (e.g., decision trees, regressions, machine learning, string similarity,…",Columbus,OH, Ohio,Midwest
Fractal Analytics,Data Scientist,Senior Data Scientist - Insurance,"6-7 years of overall experience working with data science methodologies & techniques like dimensionality reduction (PCA, Factor Analysis, etc.), clustering …",Columbus,OH, Ohio,Midwest
The E.W. Scripps Company,Data Analyst,"Data Analyst, Predictive Modeling","This individual will partner with the analytics team, analytics products and services director, business leaders and end users to be a change agent -…",Cincinnati,OH, Ohio,Midwest
"BGI, LLC",Data Engineer,Mid-Level Data Science Software Engineer,"BGI is a unique and innovative veteran-owned small business that brings together highly experienced leaders and managers, instructors, operators, training…",Akron,OH, Ohio,Midwest
"Cincom Systems, Inc.",Data Analyst,Sr. Data Analyst (with Business Intelligence Experience),"In this role, they will contribute to the development and deployment of modern machine learning, operational research, semantic analysis, and statistical…",Cincinnati,OH, Ohio,Midwest
GE Aviation,Data Analyst,Data Science & Analytics Intern - Summer 2020,"The Data Science & Analytics Intern will give to the development and deployment of modern machine learning, operational research, semantic analysis, and…",Cincinnati,OH, Ohio,Midwest
Earnin,Data Scientist,Senior Data Scientist,We're looking for a talented and motivated data scientist to build sophisticated models with data collected across our business to aid Earnin's mission in…,Cincinnati,OH, Ohio,Midwest
Procter and Gamble,Data Scientist,Test & Control Data Scientist-PhD Degree,"All will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status, disability status, age,…",Cincinnati,OH, Ohio,Midwest
"Columbus, OH 43215 (Downtown area)",Data Analyst,Sr. Business Data Analyst,"It is our policy to ensure that applicants are considered for employment based on their qualifications without regard to their race, religion (including…",Columbus,OH, Ohio,Midwest
"Wright-Patterson AFB, OH",Data Scientist,Explainable Artificial Intelligence and Topological Data Analysis (Full-Time),"The program seeks to utilize the mathematical underpinnings of topological data analysis to formulate feature extraction methods, deep topological architecting…",Wright-Patterson AFB,OH, Ohio,Midwest
Cardinal Health,Data Scientist,"Consultant, Operations Research & Data Science","All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national…",Dublin,OH, Ohio,Midwest
NetJets,Data Analyst,Sr. Data Analyst,"The Data Analyst, Senior will act as a data and business intelligence subject matter expert and work closely with business stakeholders to collect requirements…",Columbus,OH, Ohio,Midwest
"Lockton, Inc.",Data Analyst,Senior Health Data Analyst,"Lockton is seeking an experienced Senior Health Analyst to work with Lockton colleagues and clients to analyze medical, pharmacy, disease management and…",Nova,OH, Ohio,Midwest
"Cincinnati, OH",Data Scientist,CDC Data Science Fellowship,"A research opportunity is currently available with the Division of Field Studies and Engineering (DFSE), within the National Institute for Occupational Safety…",Cincinnati,OH, Ohio,Midwest
Battelle,Data Scientist,Data Science Research Associate,"Applicants will receive consideration for employment without regard to race, color, religion, sex (including pregnancy), national origin, sexual orientation,…",Columbus,OH, Ohio,Midwest
Avani Technology Solutions Inc,Data Analyst,Sr. Data Analyst - Tableau Dashboard Develope,"The ideal candidate should have strong background in data analytics, Tableau development, SQL, and ecommerce strategy/operations/or marketing.",Cincinnati,OH, Ohio,Midwest
"WorldPay US, Inc.",Data Analyst,Senior Data Analyst,Typically requires a minimum of 5 years of related experience with a Bachelor's degree in computer science or equivalent field;,Cincinnati,OH, Ohio,Midwest
"Wright-Patterson AFB, OH",Data Scientist,Explainable Artificial Intelligence and Topological Data Analysis (Part-Time),"The program seeks to utilize the mathematical underpinnings of topological data analysis to formulate feature extraction methods, deep topological architecting…",Wright-Patterson AFB,OH, Ohio,Midwest
"Morgan Business Consulting, LLC",Data Analyst,Senior Analyst - Logistics Data Analyst,Possess excellent problem-solving and analytical skills with ability to clarify and resolve complex issues by breaking them down into meaningful components to…,Beavercreek,OH, Ohio,Midwest
WSECU,Data Analyst,Digital Business Analyst,We look forward to reviewing your application! All applicants must include a resume. Contact us at 1-800-562-0999 ext. 11111 with any questions.,Olympia,WA, Washington,West
Progressive,Data Analyst,Data Analyst Senior to Lead,As a Data Analyst you will be responsible to build a data and reporting strategy to provide meaningful and actionable insights that will be leveraged across…,Mayfield Village,OH, Ohio,Midwest
Aver Inc.,Data Analyst,Senior Healthcare Data Analyst,"Qualified applicants will be afforded equal employment opportunities without discrimination because of race, creed, color, national origin, sex, disability, or…",Columbus,OH, Ohio,Midwest
